,Year,Month,Day,Hour,Minute,GHI,Clearsky GHI,DHI,Clearsky DHI,DNI,Clearsky DNI,Wind Speed,Temperature,Cloud Type,Fill Flag,Wind Direction
2018-01-01 00:00:00,2018,1,1,0,0,0,0,0,0,0,0,2.7,20.3,7,0,56
2018-01-01 00:30:00,2018,1,1,0,30,0,0,0,0,0,0,2.7,20.1,7,0,54
2018-01-01 01:00:00,2018,1,1,1,0,0,0,0,0,0,0,2.7,19.8,7,0,53
2018-01-01 01:30:00,2018,1,1,1,30,0,0,0,0,0,0,2.5,19.5,7,0,51
2018-01-01 02:00:00,2018,1,1,2,0,0,0,0,0,0,0,2.3000000000000003,19.200000000000003,7,0,50
2018-01-01 02:30:00,2018,1,1,2,30,0,0,0,0,0,0,2.3000000000000003,19.200000000000003,7,0,50
2018-01-01 03:00:00,2018,1,1,3,0,0,0,0,0,0,0,1.3,19.9,7,0,189
2018-01-01 03:30:00,2018,1,1,3,30,0,0,0,0,0,0,1.2000000000000002,19.700000000000003,7,0,182
2018-01-01 04:00:00,2018,1,1,4,0,0,0,0,0,0,0,1.0,19.5,7,0,174
2018-01-01 04:30:00,2018,1,1,4,30,0,0,0,0,0,0,1.0,19.5,0,0,152
2018-01-01 05:00:00,2018,1,1,5,0,0,0,0,0,0,0,1.0,19.5,7,0,131
2018-01-01 05:30:00,2018,1,1,5,30,9,18,9,13,0,187,1.5,20.200000000000003,7,3,107
2018-01-01 06:00:00,2018,1,1,6,0,53,103,50,33,22,494,1.9,20.9,7,3,83
2018-01-01 06:30:00,2018,1,1,6,30,116,215,100,47,61,665,2.4000000000000004,21.8,7,3,78
2018-01-01 07:00:00,2018,1,1,7,0,231,337,153,55,214,773,2.9000000000000004,22.8,7,0,74
2018-01-01 07:30:00,2018,1,1,7,30,338,459,204,62,285,842,3.1,23.8,7,0,70
2018-01-01 08:00:00,2018,1,1,8,0,482,578,228,66,443,893,3.3000000000000003,24.8,7,0,67
2018-01-01 08:30:00,2018,1,1,8,30,690,690,71,71,928,928,3.2,25.5,0,1,63
2018-01-01 09:00:00,2018,1,1,9,0,788,788,86,86,936,936,3.1,26.200000000000003,0,0,58
2018-01-01 09:30:00,2018,1,1,9,30,877,877,89,89,956,956,2.9000000000000004,26.700000000000003,1,0,55
2018-01-01 10:00:00,2018,1,1,10,0,954,954,90,90,975,975,2.6,27.200000000000003,0,0,52
2018-01-01 10:30:00,2018,1,1,10,30,1015,1015,92,92,986,986,2.4000000000000004,27.5,1,0,50
2018-01-01 11:00:00,2018,1,1,11,0,706,1057,539,92,171,994,2.2,27.8,3,3,47
2018-01-01 11:30:00,2018,1,1,11,30,727,1083,554,93,175,999,1.9,28.0,3,3,44
2018-01-01 12:00:00,2018,1,1,12,0,734,1091,559,92,175,1001,1.7000000000000002,28.3,3,3,41
2018-01-01 12:30:00,2018,1,1,12,30,823,1079,536,92,290,998,1.6,28.3,7,3,33
2018-01-01 13:00:00,2018,1,1,13,0,784,1050,525,90,268,994,1.4,28.4,7,3,24
2018-01-01 13:30:00,2018,1,1,13,30,396,1002,372,89,26,985,1.4,28.200000000000003,7,0,178
2018-01-01 14:00:00,2018,1,1,14,0,96,940,96,86,0,974,1.3,27.9,6,0,332
2018-01-01 14:30:00,2018,1,1,14,30,65,860,65,83,0,957,1.4,27.5,6,0,296
2018-01-01 15:00:00,2018,1,1,15,0,141,767,140,84,2,927,1.5,27.0,6,0,260
2018-01-01 15:30:00,2018,1,1,15,30,120,663,120,80,0,897,1.7000000000000002,26.5,6,0,254
2018-01-01 16:00:00,2018,1,1,16,0,216,549,206,76,18,852,1.8,25.9,6,0,249
2018-01-01 16:30:00,2018,1,1,16,30,113,430,113,69,0,798,1.7000000000000002,25.200000000000003,6,0,250
2018-01-01 17:00:00,2018,1,1,17,0,27,308,27,62,0,713,1.6,24.5,6,0,251
2018-01-01 17:30:00,2018,1,1,17,30,12,189,12,50,0,592,1.5,23.8,7,3,254
2018-01-01 18:00:00,2018,1,1,18,0,7,81,7,34,0,390,1.4,23.1,7,3,257
2018-01-01 18:30:00,2018,1,1,18,30,0,0,0,0,0,0,1.5,22.700000000000003,7,0,263
2018-01-01 19:00:00,2018,1,1,19,0,0,0,0,0,0,0,1.6,22.3,6,0,268
2018-01-01 19:30:00,2018,1,1,19,30,0,0,0,0,0,0,1.7000000000000002,22.1,7,0,272
2018-01-01 20:00:00,2018,1,1,20,0,0,0,0,0,0,0,1.8,21.8,7,0,276
2018-01-01 20:30:00,2018,1,1,20,30,0,0,0,0,0,0,1.8,21.5,7,0,278
2018-01-01 21:00:00,2018,1,1,21,0,0,0,0,0,0,0,1.8,21.3,7,0,280
2018-01-01 21:30:00,2018,1,1,21,30,0,0,0,0,0,0,1.6,21.1,7,0,145
2018-01-01 22:00:00,2018,1,1,22,0,0,0,0,0,0,0,1.4,20.9,7,0,10
2018-01-01 22:30:00,2018,1,1,22,30,0,0,0,0,0,0,1.5,20.700000000000003,7,0,43
2018-01-01 23:00:00,2018,1,1,23,0,0,0,0,0,0,0,1.6,20.5,7,0,77
2018-01-01 23:30:00,2018,1,1,23,30,0,0,0,0,0,0,1.7000000000000002,20.200000000000003,7,0,77
2018-01-02 00:00:00,2018,1,2,0,0,0,0,0,0,0,0,1.8,20.0,7,0,77
2018-01-02 00:30:00,2018,1,2,0,30,0,0,0,0,0,0,1.8,19.700000000000003,6,0,74
2018-01-02 01:00:00,2018,1,2,1,0,0,0,0,0,0,0,1.8,19.4,7,0,71
2018-01-02 01:30:00,2018,1,2,1,30,0,0,0,0,0,0,1.8,19.200000000000003,7,0,68
2018-01-02 02:00:00,2018,1,2,2,0,0,0,0,0,0,0,1.7000000000000002,19.0,7,0,66
2018-01-02 02:30:00,2018,1,2,2,30,0,0,0,0,0,0,1.7000000000000002,19.0,7,0,66
2018-01-02 03:00:00,2018,1,2,3,0,0,0,0,0,0,0,1.5,18.6,7,0,66
2018-01-02 03:30:00,2018,1,2,3,30,0,0,0,0,0,0,1.3,18.5,4,0,69
2018-01-02 04:00:00,2018,1,2,4,0,0,0,0,0,0,0,1.2000000000000002,18.3,7,0,71
2018-01-02 04:30:00,2018,1,2,4,30,0,0,0,0,0,0,1.1,18.3,7,0,76
2018-01-02 05:00:00,2018,1,2,5,0,0,0,0,0,0,0,1.0,18.3,0,0,81
2018-01-02 05:30:00,2018,1,2,5,30,18,18,12,12,212,212,1.3,18.8,0,0,84
2018-01-02 06:00:00,2018,1,2,6,0,103,103,31,31,517,517,1.6,19.3,0,0,87
2018-01-02 06:30:00,2018,1,2,6,30,216,216,44,44,685,685,1.8,20.1,0,0,81
2018-01-02 07:00:00,2018,1,2,7,0,337,337,53,53,784,784,1.9,20.9,0,0,75
2018-01-02 07:30:00,2018,1,2,7,30,459,459,60,60,851,851,2.1,22.0,0,0,66
2018-01-02 08:00:00,2018,1,2,8,0,578,578,65,65,899,899,2.4000000000000004,23.200000000000003,0,0,58
2018-01-02 08:30:00,2018,1,2,8,30,690,690,70,70,934,934,2.5,24.1,0,0,56
2018-01-02 09:00:00,2018,1,2,9,0,793,793,73,73,960,960,2.6,25.0,0,0,54
2018-01-02 09:30:00,2018,1,2,9,30,882,882,76,76,979,979,2.5,25.700000000000003,0,0,54
2018-01-02 10:00:00,2018,1,2,10,0,766,958,430,79,379,993,2.4000000000000004,26.3,7,0,53
2018-01-02 10:30:00,2018,1,2,10,30,830,1019,449,80,407,1004,2.3000000000000003,26.8,7,0,51
2018-01-02 11:00:00,2018,1,2,11,0,868,1063,476,83,404,1010,2.1,27.3,7,0,49
2018-01-02 11:30:00,2018,1,2,11,30,648,1088,540,84,109,1013,2.0,27.700000000000003,4,0,44
2018-01-02 12:00:00,2018,1,2,12,0,795,1094,553,97,242,999,1.9,28.0,3,0,39
2018-01-02 12:30:00,2018,1,2,12,30,1082,1082,96,96,996,996,1.8,28.1,0,0,32
2018-01-02 13:00:00,2018,1,2,13,0,1052,1052,98,98,988,988,1.8,28.3,0,0,25
2018-01-02 13:30:00,2018,1,2,13,30,711,1004,508,96,219,978,1.6,28.1,3,0,192
2018-01-02 14:00:00,2018,1,2,14,0,336,940,318,96,21,963,1.5,28.0,7,3,359
2018-01-02 14:30:00,2018,1,2,14,30,313,861,296,93,20,944,1.5,27.700000000000003,3,0,339
2018-01-02 15:00:00,2018,1,2,15,0,125,768,125,92,0,917,1.4,27.3,4,0,320
2018-01-02 15:30:00,2018,1,2,15,30,308,664,281,87,42,887,1.4,26.8,7,0,310
2018-01-02 16:00:00,2018,1,2,16,0,326,550,262,82,115,841,1.3,26.200000000000003,3,0,300
2018-01-02 16:30:00,2018,1,2,16,30,230,431,198,75,71,784,1.2000000000000002,25.5,7,0,300
2018-01-02 17:00:00,2018,1,2,17,0,258,309,124,66,388,701,1.2000000000000002,24.8,7,0,300
2018-01-02 17:30:00,2018,1,2,17,30,157,189,81,53,326,580,1.0,23.9,8,3,300
2018-01-02 18:00:00,2018,1,2,18,0,69,82,42,36,226,379,0.9,23.0,6,3,301
2018-01-02 18:30:00,2018,1,2,18,30,0,0,0,0,0,0,0.8,22.5,8,0,301
2018-01-02 19:00:00,2018,1,2,19,0,0,0,0,0,0,0,0.8,22.0,8,0,301
2018-01-02 19:30:00,2018,1,2,19,30,0,0,0,0,0,0,0.8,21.700000000000003,7,0,299
2018-01-02 20:00:00,2018,1,2,20,0,0,0,0,0,0,0,0.8,21.4,7,0,297
2018-01-02 20:30:00,2018,1,2,20,30,0,0,0,0,0,0,0.7000000000000001,21.1,6,0,290
2018-01-02 21:00:00,2018,1,2,21,0,0,0,0,0,0,0,0.7000000000000001,20.9,6,0,284
2018-01-02 21:30:00,2018,1,2,21,30,0,0,0,0,0,0,0.6000000000000001,20.8,6,0,279
2018-01-02 22:00:00,2018,1,2,22,0,0,0,0,0,0,0,0.5,20.700000000000003,7,0,275
2018-01-02 22:30:00,2018,1,2,22,30,0,0,0,0,0,0,0.4,20.6,8,0,265
2018-01-02 23:00:00,2018,1,2,23,0,0,0,0,0,0,0,0.4,20.5,8,0,255
2018-01-02 23:30:00,2018,1,2,23,30,0,0,0,0,0,0,0.4,20.4,7,0,188
2018-01-03 00:00:00,2018,1,3,0,0,0,0,0,0,0,0,0.4,20.200000000000003,7,0,122
2018-01-03 00:30:00,2018,1,3,0,30,0,0,0,0,0,0,0.4,20.0,4,0,112
2018-01-03 01:00:00,2018,1,3,1,0,0,0,0,0,0,0,0.5,19.8,4,0,101
2018-01-03 01:30:00,2018,1,3,1,30,0,0,0,0,0,0,0.5,19.6,7,0,98
2018-01-03 02:00:00,2018,1,3,2,0,0,0,0,0,0,0,0.6000000000000001,19.4,7,0,95
2018-01-03 02:30:00,2018,1,3,2,30,0,0,0,0,0,0,0.6000000000000001,19.4,7,0,95
2018-01-03 03:00:00,2018,1,3,3,0,0,0,0,0,0,0,0.6000000000000001,19.0,7,0,94
2018-01-03 03:30:00,2018,1,3,3,30,0,0,0,0,0,0,0.7000000000000001,18.8,7,0,94
2018-01-03 04:00:00,2018,1,3,4,0,0,0,0,0,0,0,0.7000000000000001,18.6,7,0,94
2018-01-03 04:30:00,2018,1,3,4,30,0,0,0,0,0,0,0.9,18.6,7,0,93
2018-01-03 05:00:00,2018,1,3,5,0,0,0,0,0,0,0,1.0,18.6,7,0,92
2018-01-03 05:30:00,2018,1,3,5,30,9,17,8,12,52,178,1.5,19.6,7,3,90
2018-01-03 06:00:00,2018,1,3,6,0,68,100,50,32,138,501,2.1,20.5,7,3,87
2018-01-03 06:30:00,2018,1,3,6,30,150,213,96,45,215,672,2.2,21.5,7,3,88
2018-01-03 07:00:00,2018,1,3,7,0,243,335,146,53,268,782,2.3000000000000003,22.6,7,0,88
2018-01-03 07:30:00,2018,1,3,7,30,350,457,194,60,332,850,2.3000000000000003,23.700000000000003,7,0,92
2018-01-03 08:00:00,2018,1,3,8,0,449,578,248,65,354,902,2.3000000000000003,24.8,7,0,96
2018-01-03 08:30:00,2018,1,3,8,30,545,690,299,69,370,937,2.2,25.6,7,0,103
2018-01-03 09:00:00,2018,1,3,9,0,552,792,383,72,226,963,2.1,26.5,3,0,110
2018-01-03 09:30:00,2018,1,3,9,30,714,883,380,74,406,983,1.9,27.1,7,0,124
2018-01-03 10:00:00,2018,1,3,10,0,774,961,419,77,400,1000,1.8,27.8,7,0,137
2018-01-03 10:30:00,2018,1,3,10,30,780,1021,493,78,307,1009,1.7000000000000002,28.3,7,0,153
2018-01-03 11:00:00,2018,1,3,11,0,818,1065,517,80,310,1015,1.7000000000000002,28.8,7,0,170
2018-01-03 11:30:00,2018,1,3,11,30,860,1092,507,81,356,1020,1.7000000000000002,29.1,7,0,182
2018-01-03 12:00:00,2018,1,3,12,0,876,1100,503,82,374,1020,1.8,29.4,7,0,194
2018-01-03 12:30:00,2018,1,3,12,30,848,1088,522,82,329,1017,1.9,29.5,7,0,201
2018-01-03 13:00:00,2018,1,3,13,0,778,1060,528,83,259,1011,2.0,29.6,7,0,207
2018-01-03 13:30:00,2018,1,3,13,30,741,1013,502,81,258,1003,2.1,29.5,7,0,209
2018-01-03 14:00:00,2018,1,3,14,0,665,949,473,81,219,988,2.2,29.4,7,0,211
2018-01-03 14:30:00,2018,1,3,14,30,622,871,426,79,242,972,2.3000000000000003,29.1,7,0,212
2018-01-03 15:00:00,2018,1,3,15,0,530,772,379,92,204,922,2.4000000000000004,28.700000000000003,7,0,213
2018-01-03 15:30:00,2018,1,3,15,30,556,668,279,87,425,891,2.3000000000000003,28.1,7,0,216
2018-01-03 16:00:00,2018,1,3,16,0,31,553,31,85,0,840,2.2,27.5,6,0,218
2018-01-03 16:30:00,2018,1,3,16,30,143,433,143,77,0,781,2.1,26.8,6,0,220
2018-01-03 17:00:00,2018,1,3,17,0,75,310,75,69,0,694,2.0,26.1,7,0,221
2018-01-03 17:30:00,2018,1,3,17,30,54,190,54,56,0,568,1.6,24.9,8,3,223
2018-01-03 18:00:00,2018,1,3,18,0,25,82,25,37,0,362,1.3,23.700000000000003,7,3,226
2018-01-03 18:30:00,2018,1,3,18,30,0,0,0,0,0,0,1.2000000000000002,23.200000000000003,7,0,224
2018-01-03 19:00:00,2018,1,3,19,0,0,0,0,0,0,0,1.2000000000000002,22.700000000000003,7,0,223
2018-01-03 19:30:00,2018,1,3,19,30,0,0,0,0,0,0,1.2000000000000002,22.4,7,0,213
2018-01-03 20:00:00,2018,1,3,20,0,0,0,0,0,0,0,1.2000000000000002,22.0,7,0,204
2018-01-03 20:30:00,2018,1,3,20,30,0,0,0,0,0,0,1.3,21.700000000000003,7,0,181
2018-01-03 21:00:00,2018,1,3,21,0,0,0,0,0,0,0,1.3,21.5,7,0,159
2018-01-03 21:30:00,2018,1,3,21,30,0,0,0,0,0,0,1.4,21.1,7,0,140
2018-01-03 22:00:00,2018,1,3,22,0,0,0,0,0,0,0,1.4,20.8,7,0,121
2018-01-03 22:30:00,2018,1,3,22,30,0,0,0,0,0,0,1.5,20.5,7,0,109
2018-01-03 23:00:00,2018,1,3,23,0,0,0,0,0,0,0,1.5,20.1,7,0,96
2018-01-03 23:30:00,2018,1,3,23,30,0,0,0,0,0,0,1.6,19.9,7,0,89
2018-01-04 00:00:00,2018,1,4,0,0,0,0,0,0,0,0,1.6,19.700000000000003,7,0,82
2018-01-04 00:30:00,2018,1,4,0,30,0,0,0,0,0,0,1.7000000000000002,19.5,7,0,78
2018-01-04 01:00:00,2018,1,4,1,0,0,0,0,0,0,0,1.7000000000000002,19.3,7,0,74
2018-01-04 01:30:00,2018,1,4,1,30,0,0,0,0,0,0,1.7000000000000002,19.200000000000003,7,0,70
2018-01-04 02:00:00,2018,1,4,2,0,0,0,0,0,0,0,1.7000000000000002,19.0,7,0,67
2018-01-04 02:30:00,2018,1,4,2,30,0,0,0,0,0,0,1.7000000000000002,19.0,7,0,67
2018-01-04 03:00:00,2018,1,4,3,0,0,0,0,0,0,0,1.8,18.8,7,0,64
2018-01-04 03:30:00,2018,1,4,3,30,0,0,0,0,0,0,1.8,18.7,7,0,64
2018-01-04 04:00:00,2018,1,4,4,0,0,0,0,0,0,0,1.8,18.6,7,0,65
2018-01-04 04:30:00,2018,1,4,4,30,0,0,0,0,0,0,1.8,18.7,0,0,67
2018-01-04 05:00:00,2018,1,4,5,0,0,0,0,0,0,0,1.8,18.8,0,0,68
2018-01-04 05:30:00,2018,1,4,5,30,6,16,6,11,0,187,2.2,19.8,7,3,69
2018-01-04 06:00:00,2018,1,4,6,0,98,98,31,31,503,503,2.6,20.700000000000003,1,0,70
2018-01-04 06:30:00,2018,1,4,6,30,87,210,87,44,0,674,3.2,22.0,7,3,88
2018-01-04 07:00:00,2018,1,4,7,0,226,331,151,52,212,779,3.7,23.200000000000003,7,0,106
2018-01-04 07:30:00,2018,1,4,7,30,352,453,191,59,346,845,4.3,24.5,7,0,111
2018-01-04 08:00:00,2018,1,4,8,0,449,570,246,64,358,893,4.9,25.8,7,0,117
2018-01-04 08:30:00,2018,1,4,8,30,682,682,69,69,927,927,5.0,26.700000000000003,0,0,119
2018-01-04 09:00:00,2018,1,4,9,0,781,781,84,84,933,933,5.0,27.6,0,0,121
2018-01-04 09:30:00,2018,1,4,9,30,870,870,88,88,953,953,4.800000000000001,28.1,0,0,123
2018-01-04 10:00:00,2018,1,4,10,0,946,946,89,89,970,970,4.7,28.700000000000003,0,0,126
2018-01-04 10:30:00,2018,1,4,10,30,758,1007,501,91,275,982,4.4,28.9,7,0,130
2018-01-04 11:00:00,2018,1,4,11,0,745,1051,538,92,214,989,4.1000000000000005,29.0,7,0,134
2018-01-04 11:30:00,2018,1,4,11,30,639,1077,537,93,102,993,3.9,29.0,3,0,138
2018-01-04 12:00:00,2018,1,4,12,0,640,1084,540,97,100,989,3.7,28.9,4,0,143
2018-01-04 12:30:00,2018,1,4,12,30,767,1074,552,96,217,987,3.5,28.9,7,0,150
2018-01-04 13:00:00,2018,1,4,13,0,297,1043,280,103,17,972,3.3000000000000003,28.8,4,0,158
2018-01-04 13:30:00,2018,1,4,13,30,578,998,491,101,94,964,3.1,28.5,8,0,169
2018-01-04 14:00:00,2018,1,4,14,0,409,931,380,107,34,937,2.9000000000000004,28.1,4,0,179
2018-01-04 14:30:00,2018,1,4,14,30,311,853,295,104,20,919,2.7,27.700000000000003,4,0,187
2018-01-04 15:00:00,2018,1,4,15,0,560,758,374,108,251,880,2.5,27.200000000000003,7,0,195
2018-01-04 15:30:00,2018,1,4,15,30,493,655,316,102,271,847,2.3000000000000003,26.700000000000003,7,0,188
2018-01-04 16:00:00,2018,1,4,16,0,366,541,267,99,179,789,2.1,26.1,7,0,181
2018-01-04 16:30:00,2018,1,4,16,30,44,423,44,90,0,728,1.9,25.5,8,0,160
2018-01-04 17:00:00,2018,1,4,17,0,206,304,148,76,165,656,1.8,24.9,7,0,139
2018-01-04 17:30:00,2018,1,4,17,30,8,186,8,61,0,528,1.6,24.3,7,3,133
2018-01-04 18:00:00,2018,1,4,18,0,5,83,5,37,0,368,1.4,23.700000000000003,7,3,127
2018-01-04 18:30:00,2018,1,4,18,30,0,0,0,0,0,0,1.4,23.3,7,0,125
2018-01-04 19:00:00,2018,1,4,19,0,0,0,0,0,0,0,1.5,23.0,7,0,124
2018-01-04 19:30:00,2018,1,4,19,30,0,0,0,0,0,0,1.6,22.700000000000003,7,0,128
2018-01-04 20:00:00,2018,1,4,20,0,0,0,0,0,0,0,1.8,22.5,7,0,132
2018-01-04 20:30:00,2018,1,4,20,30,0,0,0,0,0,0,1.9,22.200000000000003,7,0,132
2018-01-04 21:00:00,2018,1,4,21,0,0,0,0,0,0,0,1.9,22.0,7,0,133
2018-01-04 21:30:00,2018,1,4,21,30,0,0,0,0,0,0,1.9,21.8,7,0,115
2018-01-04 22:00:00,2018,1,4,22,0,0,0,0,0,0,0,1.8,21.6,7,0,96
2018-01-04 22:30:00,2018,1,4,22,30,0,0,0,0,0,0,1.9,21.4,7,0,217
2018-01-04 23:00:00,2018,1,4,23,0,0,0,0,0,0,0,1.9,21.1,7,0,338
2018-01-04 23:30:00,2018,1,4,23,30,0,0,0,0,0,0,1.9,21.1,7,0,330
2018-01-05 00:00:00,2018,1,5,0,0,0,0,0,0,0,0,1.9,21.0,7,0,321
2018-01-05 00:30:00,2018,1,5,0,30,0,0,0,0,0,0,1.8,21.1,7,0,315
2018-01-05 01:00:00,2018,1,5,1,0,0,0,0,0,0,0,1.8,21.200000000000003,7,0,309
2018-01-05 01:30:00,2018,1,5,1,30,0,0,0,0,0,0,1.8,21.200000000000003,7,0,299
2018-01-05 02:00:00,2018,1,5,2,0,0,0,0,0,0,0,1.8,21.200000000000003,7,0,289
2018-01-05 02:30:00,2018,1,5,2,30,0,0,0,0,0,0,1.8,21.200000000000003,7,0,289
2018-01-05 03:00:00,2018,1,5,3,0,0,0,0,0,0,0,1.9,20.9,7,0,258
2018-01-05 03:30:00,2018,1,5,3,30,0,0,0,0,0,0,2.0,20.700000000000003,7,0,242
2018-01-05 04:00:00,2018,1,5,4,0,0,0,0,0,0,0,2.0,20.5,3,0,227
2018-01-05 04:30:00,2018,1,5,4,30,0,0,0,0,0,0,2.1,20.5,7,0,220
2018-01-05 05:00:00,2018,1,5,5,0,0,0,0,0,0,0,2.2,20.6,7,0,214
2018-01-05 05:30:00,2018,1,5,5,30,2,15,2,11,0,183,2.7,21.5,7,3,211
2018-01-05 06:00:00,2018,1,5,6,0,8,96,8,30,0,504,3.1,22.4,7,3,209
2018-01-05 06:30:00,2018,1,5,6,30,14,207,14,42,0,676,3.6,23.200000000000003,7,3,190
2018-01-05 07:00:00,2018,1,5,7,0,13,328,13,49,0,784,4.0,24.1,7,0,171
2018-01-05 07:30:00,2018,1,5,7,30,307,449,209,55,213,850,4.6000000000000005,24.9,7,0,157
2018-01-05 08:00:00,2018,1,5,8,0,32,567,32,58,0,900,5.2,25.700000000000003,7,0,143
2018-01-05 08:30:00,2018,1,5,8,30,91,678,91,62,0,934,5.5,26.200000000000003,8,0,142
2018-01-05 09:00:00,2018,1,5,9,0,96,779,96,65,0,958,5.7,26.8,8,0,141
2018-01-05 09:30:00,2018,1,5,9,30,129,869,129,67,0,978,5.7,27.1,8,0,143
2018-01-05 10:00:00,2018,1,5,10,0,143,946,140,72,3,989,5.7,27.5,6,0,144
2018-01-05 10:30:00,2018,1,5,10,30,221,1007,209,74,13,1000,5.6000000000000005,27.700000000000003,6,0,148
2018-01-05 11:00:00,2018,1,5,11,0,196,1051,185,81,11,1000,5.5,27.9,6,0,151
2018-01-05 11:30:00,2018,1,5,11,30,186,1077,176,82,10,1004,5.300000000000001,27.9,6,0,157
2018-01-05 12:00:00,2018,1,5,12,0,107,1084,107,90,0,996,5.2,27.9,8,0,162
2018-01-05 12:30:00,2018,1,5,12,30,273,1074,257,89,16,994,5.0,27.700000000000003,6,0,167
2018-01-05 13:00:00,2018,1,5,13,0,305,1043,288,95,18,979,4.9,27.6,6,0,173
2018-01-05 13:30:00,2018,1,5,13,30,530,998,469,94,66,971,4.6000000000000005,27.200000000000003,6,0,179
2018-01-05 14:00:00,2018,1,5,14,0,236,934,225,96,13,953,4.4,26.8,6,0,185
2018-01-05 14:30:00,2018,1,5,14,30,199,856,191,92,10,936,4.1000000000000005,26.4,6,0,191
2018-01-05 15:00:00,2018,1,5,15,0,193,763,187,94,8,904,3.9,25.9,6,0,196
2018-01-05 15:30:00,2018,1,5,15,30,197,661,192,89,8,873,3.6,25.5,7,0,203
2018-01-05 16:00:00,2018,1,5,16,0,30,550,30,81,0,836,3.3000000000000003,25.0,6,0,210
2018-01-05 16:30:00,2018,1,5,16,30,44,431,44,74,0,781,3.2,24.5,6,0,215
2018-01-05 17:00:00,2018,1,5,17,0,14,311,14,64,0,707,3.0,24.0,6,0,219
2018-01-05 17:30:00,2018,1,5,17,30,11,192,11,52,0,588,2.8000000000000003,23.4,6,3,218
2018-01-05 18:00:00,2018,1,5,18,0,6,84,6,35,0,396,2.6,22.8,6,3,217
2018-01-05 18:30:00,2018,1,5,18,30,0,0,0,0,0,0,2.6,22.5,6,0,217
2018-01-05 19:00:00,2018,1,5,19,0,0,0,0,0,0,0,2.6,22.200000000000003,6,0,218
2018-01-05 19:30:00,2018,1,5,19,30,0,0,0,0,0,0,2.6,22.0,6,0,220
2018-01-05 20:00:00,2018,1,5,20,0,0,0,0,0,0,0,2.6,21.700000000000003,7,0,223
2018-01-05 20:30:00,2018,1,5,20,30,0,0,0,0,0,0,2.6,21.6,6,0,225
2018-01-05 21:00:00,2018,1,5,21,0,0,0,0,0,0,0,2.7,21.5,6,0,227
2018-01-05 21:30:00,2018,1,5,21,30,0,0,0,0,0,0,2.9000000000000004,21.4,6,0,227
2018-01-05 22:00:00,2018,1,5,22,0,0,0,0,0,0,0,3.1,21.200000000000003,7,0,227
2018-01-05 22:30:00,2018,1,5,22,30,0,0,0,0,0,0,3.2,21.1,6,0,225
2018-01-05 23:00:00,2018,1,5,23,0,0,0,0,0,0,0,3.3000000000000003,21.0,7,0,224
2018-01-05 23:30:00,2018,1,5,23,30,0,0,0,0,0,0,3.4000000000000004,20.9,7,0,225
2018-01-06 00:00:00,2018,1,6,0,0,0,0,0,0,0,0,3.4000000000000004,20.8,8,0,226
2018-01-06 00:30:00,2018,1,6,0,30,0,0,0,0,0,0,3.5,20.8,8,0,230
2018-01-06 01:00:00,2018,1,6,1,0,0,0,0,0,0,0,3.6,20.700000000000003,7,0,234
2018-01-06 01:30:00,2018,1,6,1,30,0,0,0,0,0,0,3.8,20.6,7,0,238
2018-01-06 02:00:00,2018,1,6,2,0,0,0,0,0,0,0,3.9,20.6,7,0,241
2018-01-06 02:30:00,2018,1,6,2,30,0,0,0,0,0,0,3.9,20.6,7,0,241
2018-01-06 03:00:00,2018,1,6,3,0,0,0,0,0,0,0,4.2,20.6,8,0,246
2018-01-06 03:30:00,2018,1,6,3,30,0,0,0,0,0,0,4.5,20.6,8,0,249
2018-01-06 04:00:00,2018,1,6,4,0,0,0,0,0,0,0,4.7,20.6,8,0,251
2018-01-06 04:30:00,2018,1,6,4,30,0,0,0,0,0,0,5.0,20.5,4,0,253
2018-01-06 05:00:00,2018,1,6,5,0,0,0,0,0,0,0,5.2,20.5,8,0,255
2018-01-06 05:30:00,2018,1,6,5,30,3,14,3,10,13,188,5.5,20.6,8,3,257
2018-01-06 06:00:00,2018,1,6,6,0,8,94,8,28,0,507,5.7,20.8,4,3,258
2018-01-06 06:30:00,2018,1,6,6,30,18,204,18,39,0,679,6.1000000000000005,21.0,3,3,257
2018-01-06 07:00:00,2018,1,6,7,0,36,323,36,47,0,780,6.5,21.3,4,0,257
2018-01-06 07:30:00,2018,1,6,7,30,147,444,146,53,1,847,6.800000000000001,21.700000000000003,8,0,257
2018-01-06 08:00:00,2018,1,6,8,0,80,562,80,60,0,890,7.1000000000000005,22.1,3,0,256
2018-01-06 08:30:00,2018,1,6,8,30,154,672,152,64,2,925,7.2,22.6,4,0,256
2018-01-06 09:00:00,2018,1,6,9,0,241,774,231,71,13,945,7.300000000000001,23.0,4,0,255
2018-01-06 09:30:00,2018,1,6,9,30,125,864,125,74,0,964,7.5,23.3,4,0,255
2018-01-06 10:00:00,2018,1,6,10,0,190,940,181,80,10,975,7.6,23.700000000000003,4,0,254
2018-01-06 10:30:00,2018,1,6,10,30,339,1001,321,81,20,986,7.7,23.9,4,0,254
2018-01-06 11:00:00,2018,1,6,11,0,302,1046,285,85,17,991,7.9,24.200000000000003,4,0,254
2018-01-06 11:30:00,2018,1,6,11,30,419,1072,394,86,25,995,7.9,24.4,4,0,255
2018-01-06 12:00:00,2018,1,6,12,0,281,1080,264,91,17,991,8.0,24.6,4,0,256
